# Generated by scripts/build-icon-map.ts — do not edit.
# kind	match	key	source	variant	licence	brand_hex	dark_ink
domain	base-ui.com	baseui	thesvg	color+theme	CC0-1.0	#EDEDED	
domain	base.org	base	thesvg	color	Custom	#0052FF	
domain	basecamp.com	basecamp	gilbarbara	color	CC0-1.0		1
domain	basekit.com	basekit	gilbarbara	color	CC0-1.0		1
domain	baserow.io	baserow	thesvg	color	CC0-1.0	#5190EF	
domain	baseten.co	baseten	thesvg	color	MIT	#19E76E	1
domain	basewell.com	basewell	thesvg	color	MIT	#000000	
domain	basho.com	riak	gilbarbara	color	CC0-1.0		
domain	bata.com	bata	thesvg	color	CC0-1.0	#DD282E	
domain	batch.com	batch	gilbarbara	color	CC0-1.0		
domain	battle.net	battledotnet	thesvg	color	CC0-1.0	#4381C3	
domain	bayer.com	bayer	thesvg	color	CC0-1.0	#10384F	
domain	bayzat.com	bayzat	thesvg	color	Trademark	#9647FF	
domain	bazarr.media	bazarr	thesvg	color	GPL-3.0	#162F40	
domain	bazel.build	bazel	thesvg	color	CC0-1.0	#43A047	
domain	bbc.com	bbc	thesvg	color	Fair Use	#000000	1
domain	bbkonline.com	bbk	thesvg	color	CC0-1.0	#FFD200	
domain	bbva.com	bbva	thesvg	color	CC0-1.0	#004481	1
domain	bcb.gov.br	pix	thesvg	color	CC0-1.0	#77B6A8	
domain	beacon.com	beacon	thesvg	color	MIT	#000000	
domain	beatport.com	beatport	thesvg	color	CC0-1.0	#01FF95	
domain	beatsbydre.com	beatsbydre	thesvg	color	CC0-1.0	#E01F3D	
domain	beatstars.world	beatstars	thesvg	color	CC0-1.0	#EB0000	
domain	beehiiv.com	beehiiv	thesvg	color	Unlicense	#000000	1
domain	beekeeperstudio.io	beekeeperstudio	thesvg	color	CC0-1.0	#FAD83B	
domain	behance.net	behance	gilbarbara	color	CC0-1.0		1
domain	bem.info	bem	gilbarbara	color	CC0-1.0		1
domain	bentley.com	microstation	thesvg	color	CC0-1.0	#62BB47	
domain	bento.me	bento	thesvg	color	CC0-1.0	#768CFF	
domain	bereal.com	bereal	thesvg	color	CC0-1.0	#000000	1
domain	bestbuy.com	bestbuy	thesvg	color	Fair Use	#0046BE	
domain	bestwestern.com	bestwestern	thesvg	color	CC0-1.0	#002664	1
domain	bet365.com	bet365	thesvg	color	CC0-1.0	#027B5B	
domain	betfair.com	betfair	thesvg	color	CC0-1.0	#FFB80B	
domain	bethesda.net	bethesda	thesvg	color	CC0-1.0	#DC1F22	1
domain	better-auth.com	betterauth	thesvg	color+theme	CC0-1.0	#FFFFFF	
domain	betterstack.com	betterstack	thesvg	color	CC0-1.0	#000000	1
domain	bfl.ai	blackforestlabsbfl	thesvg	color	MIT	#fff	1
domain	bigbasket.com	bigbasket	thesvg	color	CC0-1.0	#A5CD39	
domain	bigcartel.com	bigcartel	thesvg	color	CC0-1.0	#222222	1
domain	bigcommerce.co.uk	bigcommerce	thesvg	color	CC0-1.0	#121118	1
domain	bigpanda.io	bigpanda	gilbarbara	color	CC0-1.0		
domain	bilibili.com	bilibili	thesvg	color	CC0-1.0	#00A1D6	
domain	billboard.com	billboard	thesvg	color	CC0-1.0	#000000	1
domain	binance.com	binance	thesvg	color	CC0-1.0	#F0B90B	
domain	bing.com	bing	gilbarbara	color	CC0-1.0		
